game_id,game_name,game_image_url,Year,Release Date,gameplay_main,gameplay_main_unit,gameplay_main_label,position,type
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,5.0,tile
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,6.0,tile
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,7.0,tile
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,8.0,tile
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,9.0,tile
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,10.0,tile
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,11.0,tile
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,12.0,tile
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,13.0,tile
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,2002,19/07/2002,15.0,Hours,Main Story,14.0,tile
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,2005,20/10/2005,8.0,Hours,Main Story,8.0,top_pipe
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,2005,20/10/2005,8.0,Hours,Main Story,0.0,tile
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,2005,20/10/2005,8.0,Hours,Main Story,1.0,tile
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,2005,20/10/2005,8.0,Hours,Main Story,2.0,tile
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,2005,20/10/2005,8.0,Hours,Main Story,3.0,tile
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,2005,20/10/2005,8.0,Hours,Main Story,4.0,tile
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,2005,20/10/2005,8.0,Hours,Main Story,5.0,tile
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,2005,20/10/2005,8.0,Hours,Main Story,6.0,tile
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,2005,20/10/2005,8.0,Hours,Main Story,7.0,tile
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,2006,15/05/2006,7.0,Hours,Main Story,7.0,top_pipe
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,2006,15/05/2006,7.0,Hours,Main Story,0.0,tile
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,2006,15/05/2006,7.0,Hours,Main Story,1.0,tile
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,2006,15/05/2006,7.0,Hours,Main Story,2.0,tile
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,2006,15/05/2006,7.0,Hours,Main Story,3.0,tile
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,2006,15/05/2006,7.0,Hours,Main Story,4.0,tile
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,2006,15/05/2006,7.0,Hours,Main Story,5.0,tile
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,2006,15/05/2006,7.0,Hours,Main Story,6.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,13.5,top_pipe
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,0.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,1.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,2.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,3.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,4.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,5.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,6.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,7.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,8.0,tile
