game_id,game_name,game_image_url,game_web_link,gameplay_main,gameplay_main_unit,gameplay_main_label,gameplay_main_extra,gameplay_main_extra_unit,gameplay_main_extra_label,gameplay_completionist,gameplay_completionist_unit,gameplay_completionist_label,Name,Release Date,Year,ID
6911,Paper Mario: The Thousand-Year Door,/games/Ttydbox.jpg,https://howlongtobeat.com/game.php?id=6911,30½,Hours,Main Story,39½,Hours,Main + Extra,61,Hours,Completionist,Paper Mario: The Thousand-Year Door,22/07/2004,2004,6911
9365,Super Mario 64 DS,/games/250px-Super_Mario_64_DS_Coverart.png,https://howlongtobeat.com/game.php?id=9365,15,Hours,Main Story,23½,Hours,Main + Extra,26,Hours,Completionist,Super Mario 64 DS,21/11/2004,2004,9365
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,https://howlongtobeat.com/game.php?id=9409,8,Hours,Main Story,10,Hours,Main + Extra,16,Hours,Completionist,Super Princess Peach,20/10/2005,2005,9409
5621,Mario & Luigi: Partners in Time,/games/250px-Mario_and_Luigi_-_Parnters_In_Time_(box_art).jpg,https://howlongtobeat.com/game.php?id=5621,18,Hours,Main Story,20,Hours,Main + Extra,30,Hours,Completionist,Mario & Luigi: Partners in Time,29/12/2005,2005,5621
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,https://howlongtobeat.com/game.php?id=6534,7,Hours,Main Story,10½,Hours,Main + Extra,17,Hours,Completionist,New Super Mario Bros.,15/05/2006,2006,6534
5661,Mario vs. Donkey Kong 2: March of the Minis,/games/250px-Mario-vs-donkey-kong-2-march-of-the-minis-20060614044530943.jpg,https://howlongtobeat.com/game.php?id=5661,4½,Hours,Main Story,9,Hours,Main + Extra,19,Hours,Completionist,Mario vs. Donkey Kong 2: March of the Minis,25/09/2006,2006,5661
9407,Super Paper Mario,/games/250px-Super_Paper_Mario_cover.jpg,https://howlongtobeat.com/game.php?id=9407,18,Hours,Main Story,23½,Hours,Main + Extra,46,Hours,Completionist,Super Paper Mario,19/04/2007,2007,9407
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,https://howlongtobeat.com/game.php?id=9377,13½,Hours,Main Story,23,Hours,Main + Extra,38½,Hours,Completionist,Super Mario Galaxy ,01/11/2007,2007,9377
5663,Mario vs. Donkey Kong: Minis March Again!,/games/Mario_vs_Donkey_Kong_-_Minis_March_Again_Coverart.png,https://howlongtobeat.com/game.php?id=5663,3,Hours,Main Story,6½,Hours,Main + Extra,11½,Hours,Completionist,Mario vs. Donkey Kong: Minis March Again!,08/06/2009,2009,5663
5619,Mario & Luigi: Bowser's Inside Story,/games/250px-Mario_and_Luigi_3_NA_Cover.PNG,https://howlongtobeat.com/game.php?id=5619,22,Hours,Main Story,25½,Hours,Main + Extra,35½,Hours,Completionist,Mario & Luigi: Bowser's Inside Story,14/09/2009,2009,5619
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,https://howlongtobeat.com/game.php?id=6537,9,Hours,Main Story,13,Hours,Main + Extra,20,Hours,Completionist,New Super Mario Bros Wii ,15/11/2009,2009,6537
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,https://howlongtobeat.com/game.php?id=9378,13½,Hours,Main Story,21½,Hours,Main + Extra,34,Hours,Completionist,Super Mario Galaxy 2,23/05/2010,2010,9378
5662,Mario vs. Donkey Kong: Mini-Land Mayhem!,/games/250px-Mario_vs_Donkey_Kong_Mini_Land_Mayhem.jpg,https://howlongtobeat.com/game.php?id=5662,5½,Hours,Main Story,6,Hours,Main + Extra,10½,Hours,Completionist,Mario vs. Donkey Kong: Mini-Land Mayhem!,14/11/2010,2010,5662
9361,Super Mario 3D Land,/games/250px-Super-Mario-3D-Land-Logo.jpg,https://howlongtobeat.com/game.php?id=9361,7,Hours,Main Story,12½,Hours,Main + Extra,22½,Hours,Completionist,Super Mario 3D Land,03/11/2011,2011,9361
6535,New Super Mario Bros. 2,/games/250px-Newsupermariobros2boxart.jpg,https://howlongtobeat.com/game.php?id=6535,5½,Hours,Main Story,11,Hours,Main + Extra,20,Hours,Completionist,New Super Mario Bros 2 ,28/07/2012,2012,6535
6910,Paper Mario: Sticker Star,/games/PaperMarioStickerStarCover.jpg,https://howlongtobeat.com/game.php?id=6910,21,Hours,Main Story,24½,Hours,Main + Extra,32½,Hours,Completionist,Paper Mario: Sticker Star,11/11/2012,2012,6910
6536,New Super Mario Bros. U,/games/New_Super_Mario_Bros_U_box_art.png,https://howlongtobeat.com/game.php?id=6536,9,Hours,Main Story,15½,Hours,Main + Extra,25,Hours,Completionist,New Super Mario Bros. U,18/11/2012,2012,6536
5664,Mario's Picross,/games/Marios_Picross.jpg,https://howlongtobeat.com/game.php?id=5664,17,Hours,Main Story,19½,Hours,Main + Extra,23½,Hours,Completionist,Mario and Donkey Kong: Minis on the Move,09/05/2013,2013,5664
5620,Mario & Luigi: Dream Team,/games/MarioLuigiDreamTeam.jpg,https://howlongtobeat.com/game.php?id=5620,40½,Hours,Main Story,46,Hours,Main + Extra,56,Hours,Completionist,Mario & Luigi: Dream Team,12/07/2013,2013,5620
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,https://howlongtobeat.com/game.php?id=9362,10½,Hours,Main Story,19,Hours,Main + Extra,38½,Hours,Completionist,Super Mario 3D World,21/11/2013,2013,9362
24531,Mario vs. Donkey Kong: Tipping Stars,/games/MariovsDonkeyKongTippingStars.jpg,https://howlongtobeat.com/game.php?id=24531,4,Hours,Main Story,11½,Hours,Main + Extra,16½,Hours,Completionist,Mario vs. Donkey Kong: Tipping Stars,05/03/2015,2015,24531
19215,Super Mario Maker,/games/MarioMakerImage.jpg,https://howlongtobeat.com/game.php?id=19215,5,Hours,Main Story,33½,Hours,Main + Extra,160,Hours,Completionist,Super Mario Maker,11/09/2015,2015,19215
